Job name,Duration (seconds),Time of execution,Result
Admin.Api.AcceptanceTests,30,2017-08-03T07:02:47Z,SUCCESS
Admin.Api.AcceptanceTests,30,2017-08-02T07:02:43Z,SUCCESS
Admin.Api.AcceptanceTests,30,2017-08-01T07:02:47Z,SUCCESS
Admin.Api.AcceptanceTests,29,2017-07-28T07:02:43Z,SUCCESS
Admin.Api.AcceptanceTests,30,2017-07-27T07:02:48Z,SUCCESS
Admin.Api.AcceptanceTests,30,2017-07-26T07:02:45Z,SUCCESS
Admin.Api.AcceptanceTests,30,2017-07-25T07:02:48Z,SUCCESS
Admin.Api.AcceptanceTests,29,2017-07-24T07:03:43Z,SUCCESS
Admin.Api.AcceptanceTests,30,2017-07-21T07:02:50Z,SUCCESS
Admin.Api.AcceptanceTests,29,2017-07-20T07:02:48Z,SUCCESS
Admin.Api.AcceptanceTests,29,2017-07-19T07:02:55Z,SUCCESS
Admin.Api.AcceptanceTests,28,2017-07-18T07:02:48Z,SUCCESS
Admin.Api.AcceptanceTests,29,2017-07-17T07:02:51Z,SUCCESS
Admin.Api.AcceptanceTests,28,2017-07-14T07:02:47Z,SUCCESS
Admin.Api.AcceptanceTests,28,2017-07-13T07:02:50Z,SUCCESS
Admin.Api.AcceptanceTests,28,2017-07-12T07:02:53Z,SUCCESS
Admin.Api.AcceptanceTests,28,2017-07-11T07:02:50Z,SUCCESS
Admin.Api.AcceptanceTests,28,2017-07-10T07:02:52Z,SUCCESS
Admin.Api.AcceptanceTests,28,2017-07-07T07:02:50Z,SUCCESS
Admin.Api.AcceptanceTests,28,2017-07-06T07:02:51Z,SUCCESS
Admin.Api.AcceptanceTests,29,2017-07-05T07:02:48Z,SUCCESS
Admin.Api.AcceptanceTests,28,2017-07-04T07:02:46Z,SUCCESS
Admin.Api.AcceptanceTests,27,2017-07-03T07:02:50Z,SUCCESS
Admin.Api.AcceptanceTests,28,2017-06-30T07:02:46Z,SUCCESS
Admin.Api.AcceptanceTests,28,2017-06-29T07:02:44Z,SUCCESS
Admin.Api.AcceptanceTests,28,2017-06-28T07:02:47Z,SUCCESS
Admin.Api.AcceptanceTests,28,2017-06-27T07:02:51Z,SUCCESS
Admin.Api.AcceptanceTests,28,2017-06-26T07:02:50Z,SUCCESS
Admin.Api.AcceptanceTests,31,2017-06-23T07:02:48Z,SUCCESS
Admin.Api.AcceptanceTests,24,2017-06-22T07:02:48Z,SUCCESS
Admin.Api.AcceptanceTests,29,2017-06-21T07:02:47Z,SUCCESS
Admin.Api.AcceptanceTests,31,2017-06-20T07:02:46Z,SUCCESS
Admin.Api.AcceptanceTests,29,2017-06-19T07:02:48Z,SUCCESS
Admin.Api.AcceptanceTests,30,2017-06-16T07:02:46Z,SUCCESS
Admin.Api.AcceptanceTests,28,2017-06-15T07:02:48Z,SUCCESS
Admin.Api.AcceptanceTests,28,2017-06-14T07:02:45Z,SUCCESS
Admin.Api.AcceptanceTests,28,2017-06-13T07:02:42Z,SUCCESS
Admin.Api.AcceptanceTests,29,2017-06-12T07:02:42Z,SUCCESS
Admin.Api.AcceptanceTests,28,2017-06-09T07:02:46Z,SUCCESS
Admin.Api.AcceptanceTests,24,2017-06-08T07:02:43Z,SUCCESS
Admin.Api.AcceptanceTests,28,2017-06-07T09:56:02Z,SUCCESS
Admin.Api.AcceptanceTests,29,2017-06-07T07:02:41Z,SUCCESS
Admin.Api.AcceptanceTests,29,2017-06-06T07:02:45Z,SUCCESS
Admin.Api.AcceptanceTests,29,2017-06-05T07:02:46Z,SUCCESS
Admin.Api.AcceptanceTests,25,2017-06-02T07:02:40Z,SUCCESS
Admin.Api.AcceptanceTests,28,2017-06-01T11:56:22Z,SUCCESS
Admin.Api.AcceptanceTests,28,2017-06-01T07:02:44Z,SUCCESS
Admin.Api.AcceptanceTests,28,2017-05-29T07:02:46Z,SUCCESS
Admin.Api.AcceptanceTests,30,2017-05-26T12:58:19Z,SUCCESS
Admin.Api.AcceptanceTests,28,2017-05-26T12:38:44Z,SUCCESS
Admin.Api.AcceptanceTests,28,2017-05-26T07:03:43Z,SUCCESS
Admin.Api.AcceptanceTests,31,2017-05-25T10:37:50Z,SUCCESS
Admin.Api.AcceptanceTests,29,2017-05-25T10:11:05Z,SUCCESS
Admin.Api.AcceptanceTests,31,2017-05-25T08:42:59Z,SUCCESS
Admin.Api.AcceptanceTests,29,2017-05-25T07:02:43Z,SUCCESS
Admin.Api.AcceptanceTests,30,2017-05-24T11:04:22Z,SUCCESS
Admin.Api.AcceptanceTests,25,2017-05-23T07:02:44Z,SUCCESS
Admin.Api.AcceptanceTests,25,2017-05-22T07:02:43Z,SUCCESS
Admin.Api.AcceptanceTests,26,2017-05-19T07:02:41Z,SUCCESS
Admin.Api.AcceptanceTests,28,2017-05-18T07:02:45Z,SUCCESS
Admin.Api.AcceptanceTests,27,2017-05-17T07:02:43Z,SUCCESS
